dataset_key,database_process_name,uuid,reference_unit,note
clinker RoW,"market for clinker | clinker | Cutoff, S - RoW",0d40fb10-fab6-4e61-8270-25355ded02da,kg,ecoinvent 3.7 cut-off
limestone RoW,"market for limestone, crushed, for mill | limestone, crushed, for mill | Cutoff, S - RoW",e5403169-cd77-3d22-a10b-6bbfa2022da6,kg,ecoinvent 3.7 cut-off
gypsum RoW,"market for gypsum, mineral | gypsum, mineral | Cutoff, S - RoW",3a74ba5a-042e-4945-b3d0-d3d920a66fb9,kg,ecoinvent 3.7 cut-off
calcined clay RoW,"market for calcined clay | calcined clay | Cutoff, S - RoW",2d11c62c-467c-42d5-bd33-1b7b6cd9dbdf,kg,ecoinvent 3.7 cut-off
US grid,Current U.S. grid mix - US,5b88af21-0767-495f-911c-7545c3e1055b,kWh,NETL CO2U openLCA library
sand RoW,"market for sand | sand | Cutoff, S - RoW",33f5d207-4cbb-4464-b390-79553b2b9881,kg,ecoinvent 3.7 cut-off
tap water RoW,"market for tap water | tap water | Cutoff, S - RoW",f0245d13-a3ba-37fa-8dd2-d6c46873b673,kg,ecoinvent 3.7 cut-off
diesel US,Diesel Stages 1 - 4 - 2005 Crude Mix - US,205089dd-7096-4413-a2ed-8bcac169168d,kg,NETL
methanol GLO,Methanol from Natural Gas - GLO,a513c488-3b91-405a-b1b8-35f593eaf8cb,kg,NETL
bark chips RoW,"bark chips production, hardwood, at sawmill | bark chips, wet, measured as dry mass | Cutoff, S - RoW",260e5dac-e38b-4f8b-86ec-1a43e2bb3c01,kg,ecoinvent 3.7 cut-off
SubPC capture (per kWh; delivers 0.910 kg CO2),"SubPC Power Plant, capture, cradle-to-gate - US-IL",a08b721b-6d24-481d-9dff-438d8db3baa5,kWh,NETL CO2U; CO2 supply expressed as kWh of net electricity
SubPC no capture (per kWh),"SubPC Power Plant, no capture, cradle-to-gate - US-IL",a3a3252a-b6fa-4b4f-95e6-2994ec057ec6,kWh,NETL CO2U; reference electricity for the co-product (same plant without capture)
cement Portland US (validation only),"market for cement, Portland | cement, Portland | Cutoff, S - US",fa35fe24-8bc5-3112-a3c6-92338645b68b,kg,ecoinvent 3.7 cut-off; used only to validate the component-built cements
hand-mixed mortar RoW (validation only),"cement mortar production, hand-mixed, on-site | cement mortar | Cutoff, S - RoW",2a28f7f7-d09f-4829-9ba9-1331fa0f7f6d,kg,ecoinvent 3.7 cut-off; benchmark
FA cement 21-35% RoW (validation only),"market for cement, portland fly ash cement 21-35% | cement, portland fly ash cement 21-35% | Cutoff, S - RoW",0b6e57b1-cf4f-4e41-8c01-690df2aa9ce1,kg,ecoinvent 3.7 cut-off; v19 dataset
