scenario,stage,flow,amount,unit,dataset,equation,note
IL_A,IL cement,clinker,0.19915794,kg,clinker RoW,0.23158 kg cement x 0.86,
IL_A,IL cement,limestone,0.02547369,kg,limestone RoW,0.23158 kg cement x 0.11,
IL_A,IL cement,gypsum,0.00694737,kg,gypsum RoW,0.23158 kg cement x 0.03,
IL_A,IL cement,electricity (finish grinding),0.008568423,kWh,US grid,0.23158 x 0.037 kWh/kg,
IL_A,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
IL_A,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
IL_A,mortar mixing,electricity (mixer),0.0005,kWh,US grid,0.56 kW x 10 min / 183.8 kg,
IL_A,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
IL_B,IL cement,clinker,0.19915794,kg,clinker RoW,0.23158 kg cement x 0.86,
IL_B,IL cement,limestone,0.02547369,kg,limestone RoW,0.23158 kg cement x 0.11,
IL_B,IL cement,gypsum,0.00694737,kg,gypsum RoW,0.23158 kg cement x 0.03,
IL_B,IL cement,electricity (finish grinding),0.008568423,kWh,US grid,0.23158 x 0.037 kWh/kg,
IL_B,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
IL_B,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
IL_B,mortar mixing,electricity (mixer),0.0005,kWh,US grid,same specific energy assumed for plant mixer,
IL_B,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
FA_A,IL cement,clinker,0.13941055800000002,kg,clinker RoW,0.16211 kg cement x 0.86,
FA_A,IL cement,limestone,0.017831583,kg,limestone RoW,0.16211 kg cement x 0.11,
FA_A,IL cement,gypsum,0.004863159,kg,gypsum RoW,0.16211 kg cement x 0.03,
FA_A,IL cement,electricity (finish grinding),0.0059978960999999996,kWh,US grid,0.16211 x 0.037 kWh/kg,
FA_A,fly ash supply,"fly ash (by-product, cut-off)",0.0694737,kg,no burden (cut-off),repl_fa x binder,
FA_A,fly ash supply,electricity (handling/classification),0.0003473685,kWh,US grid,fa x 0.005 kWh/kg,
FA_A,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
FA_A,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
FA_A,mortar mixing,electricity (mixer),0.0005,kWh,US grid,0.56 kW x 10 min / 183.8 kg,
FA_A,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
FA_B,IL cement,clinker,0.13941055800000002,kg,clinker RoW,0.16211 kg cement x 0.86,
FA_B,IL cement,limestone,0.017831583,kg,limestone RoW,0.16211 kg cement x 0.11,
FA_B,IL cement,gypsum,0.004863159,kg,gypsum RoW,0.16211 kg cement x 0.03,
FA_B,IL cement,electricity (finish grinding),0.0059978960999999996,kWh,US grid,0.16211 x 0.037 kWh/kg,
FA_B,fly ash supply,"fly ash (by-product, cut-off)",0.0694737,kg,no burden (cut-off),repl_fa x binder,
FA_B,fly ash supply,electricity (handling/classification),0.0003473685,kWh,US grid,fa x 0.005 kWh/kg,
FA_B,mortar mixing,sand,0.652632,kg,sand RoW,mix design,
FA_B,mortar mixing,"tap water (mixing, make-up)",0.115789,kg,tap water RoW,mix design; slurry water credited in BC_B,
FA_B,mortar mixing,electricity (mixer),0.0005,kWh,US grid,same specific energy assumed for plant mixer,
FA_B,functional-unit electricity,"electricity (SubPC plant without capture, to match BioCarb co-product)",0.011296137050506671,kWh,SubPC no capture (per kWh),Eq. S3: equal electricity output for all systems (NETL CO2U system expansion),
BC_A,RCF preparation,demolition concrete (cut-off),0.3437977308134436,kg,no burden (cut-off),rcf / yield,
BC_A,RCF preparation,diesel (mobile crusher),3.8367826758780307e-05,kg,diesel US,concrete x 0.0001116 x allocation 1.0,
BC_A,RCF preparation,electricity (fine grinding),0.00231719670568261,kWh,US grid,rcf x 0.0337,
BC_A,soaking & carbonation,tap water (process make-up),0.03827231974916033,kg,tap water RoW,rcf x L/S 1.67 x retained 0.333; 2/3 recycled uncharged,
BC_A,soaking & carbonation,tannic acid make-up (purchased),0.00045835113472048305,kg,"reported flow, no factor",rcf x 0.02 x 0.333 (Eq. S4),impacts via TA proxy inventory below
BC_A,TA production (proxy),methanol (net make-up),0.00012016696415892814,kg,methanol GLO,sol x 0.07,
BC_A,TA production (proxy),bark chips,0.0011501695140925978,kg,bark chips RoW,sol x 0.67,
BC_A,TA production (proxy),tap water,0.00399984323557575,kg,tap water RoW,sol x 2.33,
BC_A,TA production (proxy),electricity,0.0004463344383045902,kWh,US grid,sol x 0.26,
BC_A,TA production (proxy),methanol to water (flow only),6.866683666224465e-05,kg,"reported flow, no factor",sol x 0.04,
BC_A,soaking & carbonation,electricity (agitation),0.00034132238715158685,kWh,US grid,rcf x 0.00496,
BC_A,CO2 supply,"CO2 supplied, expressed as kWh of source plant",0.01129613705050667,kWh,SubPC capture (per kWh; delivers 0.910 kg CO2),rcf x 0.1495 kg CO2 / 0.91 kg CO2/kWh (Eq. S2-S3),= 0.01039 kg CO2 per kg mortar (pre-normalisation)
BC_A,soaking & carbonation,electricity (column blower),7.902353875395072e-05,kWh,US grid,Eq. S6,
BC_A,CO2 mineralized / vented,CO2 mineralized (permanent; information only),-0.01027948471596107,kg,CO2 mineralized (information; not credited),"Eq. S1; avoided emission already reflected in the capture-plant inventory, so not credited again",
BC_A,dewatering & drying,electricity (spray dryer),0.04046045628311835,kWh,US grid,0.0342 kg water x 4.3 MJ/kg / 3.6,
BC_A,IL cement,clinker,0.1379774892997954,kg,clinker RoW,0.16211 kg cement x 0.86,
BC_A,IL cement,limestone,0.017648283515090107,kg,limestone RoW,0.16211 kg cement x 0.11,
BC_A,IL cement,gypsum,0.00481316823138821,kg,gypsum RoW,0.16211 kg cement x 0.03,
BC_A,IL cement,electricity (finish grinding),0.0059362408187121265,kWh,US grid,0.16211 x 0.037 kWh/kg,
BC_A,mortar mixing,sand,0.6459232793308528,kg,sand RoW,mix design,
BC_A,mortar mixing,"tap water (mixing, make-up)",0.11459874874422357,kg,tap water RoW,mix design; slurry water credited in BC_B,
BC_A,mortar mixing,electricity (mixer),0.0004948602576420194,kWh,US grid,0.56 kW x 10 min / 183.8 kg,
BC_A,product,carbonated RCF in mortar (information),0.0790390308786498,kg,"reported flow, no factor",rcf x (1+u),
BC_B,RCF preparation,demolition concrete (cut-off),0.3437977308134436,kg,no burden (cut-off),rcf / yield,
