scenario,item,size,size_unit,n_units,purchased_cost_2024,basis
BC_A,fine ball mill,1.944093269668912,t/h,1,273378.4170712272,"vendor 825000 USD@20.0 (2020), exp 0.6, size ratio 0.10"
BC_A,soaking/carbonation tanks (cone roof),10.0,m3 each (x2),2,41490.6984065644,"Towler (a=5800.0,b=1600.0,n=0.7); valid 10.0-4000.0"
BC_A,agitators (propeller),5.0,kW each (x2),2,69426.79192358545,"Towler (a=17000.0,b=1130.0,n=1.05); valid 5.0-75.0"
BC_A,settling tank (cone roof),11.797111431854534,m3,1,22221.7999192448,"Towler (a=5800.0,b=1600.0,n=0.7); valid 10.0-4000.0"
BC_A,CO2 packed column (vertical CS vessel),1010.1970440223569,kg shell,1,35681.19670986261,"Towler (a=11600.0,b=34.0,n=0.85); valid 160.0-250000.0"
BC_A,column packing (plastic random),2.6811543428192164,m3,1,8050.0036564284965,"Towler (a=0.0,b=2000.0,n=1.0); valid 0.1-100.0"
BC_A,blower (centrifugal),200.0,m3/h,1,12611.635362708705,"Towler (a=4450.0,b=57.0,n=0.8); valid 200.0-5000.0"
BC_A,slurry pump (centrifugal),1.3107901590949482,L/s,1,12469.416500239227,"Towler (a=8000.0,b=240.0,n=0.9); valid 0.2-126.0"
BC_A,plate-and-frame filter press,44.694666136617734,m2 each (x2),2,2170767.405155336,"Towler (a=128000.0,b=89000.0,n=0.5); valid 4.0-80.0"
BC_A,spray dryer,957.7428457846657,kg water/h,1,2738798.362608718,"vendor 797500 USD@200.0 (2020), exp 0.6, size ratio 4.79"
BC_A,belt conveyor,20.0,m,1,83467.81760180146,"Towler (a=41000.0,b=730.0,n=1.0); valid 10.0-500.0"
BC_B,fine ball mill,1.031393192440331,t/h,1,186891.0580855581,"vendor 825000 USD@20.0 (2020), exp 0.6, size ratio 0.05"
BC_B,soaking/carbonation tanks (cone roof),10.0,m3 each (x2),2,41490.6984065644,"Towler (a=5800.0,b=1600.0,n=0.7); valid 10.0-4000.0"
BC_B,agitators (propeller),5.0,kW each (x2),2,69426.79192358545,"Towler (a=17000.0,b=1130.0,n=1.05); valid 5.0-75.0"
BC_B,settling tank (cone roof),10.0,m3,1,20745.3492032822,"Towler (a=5800.0,b=1600.0,n=0.7); valid 10.0-4000.0"
BC_B,CO2 packed column (vertical CS vessel),735.7998166558463,kg shell,1,31367.191197795804,"Towler (a=11600.0,b=34.0,n=0.85); valid 160.0-250000.0"
BC_B,column packing (plastic random),1.422423697571113,m3,1,4270.741069832578,"Towler (a=0.0,b=2000.0,n=1.0); valid 0.1-100.0"
BC_B,blower (centrifugal),200.0,m3/h,1,12611.635362708705,"Towler (a=4450.0,b=57.0,n=0.8); valid 200.0-5000.0"
BC_B,slurry pump (centrifugal),0.6954090464181021,L/s,1,12269.577469122594,"Towler (a=8000.0,b=240.0,n=0.9); valid 0.2-126.0"
BC_B,belt conveyor,20.0,m,1,83467.81760180146,"Towler (a=41000.0,b=730.0,n=1.0); valid 10.0-500.0"
