scenario,item,cents_per_kg
IL_A,Type IL cement,3.7052640000000006
IL_A,sand,0.9789479999999999
IL_A,labor,0.198063264
IL_A,maintenance,0.039789495
IL_A,insurance,0.0111410586
IL_A,capital recovery + tax,0.25152636131954476
IL_B,Type IL cement,3.7052640000000006
IL_B,electricity (mixer),0.0041
IL_B,sand,0.9789479999999999
IL_B,"tap water (mixing, make-up)",0.00578945
IL_B,labor,0.27999999999999997
IL_B,maintenance,0.1
IL_B,insurance,0.027999999999999997
IL_B,capital recovery + tax,0.5633231687736628
FA_A,Type IL cement,2.5936848000000006
FA_A,electricity (handling/classification),0.0028484217
FA_A,"fly ash (by-product, cut-off)",0.4168422
FA_A,sand,0.9789479999999999
FA_A,labor,0.198063264
FA_A,maintenance,0.039789495
FA_A,insurance,0.0111410586
FA_A,capital recovery + tax,0.2450645623382872
FA_B,Type IL cement,2.5936848000000006
FA_B,electricity (handling/classification),0.0028484217
FA_B,electricity (mixer),0.0041
FA_B,"fly ash (by-product, cut-off)",0.4168422
FA_B,sand,0.9789479999999999
FA_B,"tap water (mixing, make-up)",0.00578945
FA_B,labor,0.27999999999999997
FA_B,maintenance,0.1
FA_B,insurance,0.027999999999999997
FA_B,capital recovery + tax,0.5568613697924062
BC_A,CO2 purchase,0.06167690829576643
BC_A,RCF purchase,0.0
BC_A,Type IL cement,2.5670230567403793
BC_A,diesel (mobile crusher),0.0038367826758780306
BC_A,electricity (agitation),0.002798843574643012
BC_A,electricity (column blower),0.0006479930177823959
BC_A,electricity (fine grinding),0.019001012986597406
BC_A,electricity (spray dryer),0.33177574152157047
BC_A,sand,0.9688849189962792
BC_A,tannic acid make-up (purchased),0.2291755673602415
BC_A,tap water (process make-up),0.0019136159874580166
BC_A,labor,0.297094896
BC_A,maintenance,0.194419131389991
BC_A,insurance,0.06006587555379316
BC_A,capital recovery + tax,1.1494715702289113
BC_B,CO2 purchase,0.06167690829576643
BC_B,RCF purchase,0.0
BC_B,Type IL cement,2.5670230567403793
BC_B,diesel (mobile crusher),0.0038367826758780306
BC_B,electricity (agitation),0.002798843574643012
BC_B,electricity (column blower),0.0006479930177823959
BC_B,electricity (fine grinding),0.019001012986597406
BC_B,electricity (mixer),0.00405785411266456
BC_B,sand,0.9688849189962792
BC_B,tannic acid make-up (purchased),0.2291755673602415
BC_B,"tap water (mixing, make-up)",0.003816321449753162
BC_B,tap water (process make-up),0.0019136159874580166
BC_B,labor,0.37333333333333335
BC_B,maintenance,0.1343968592039752
BC_B,insurance,0.03888316625213775
BC_B,capital recovery + tax,0.7572260656556162
LC3_A,LC3 cement,2.9642112000000007
LC3_A,sand,0.9789479999999999
LC3_A,labor,0.198063264
LC3_A,maintenance,0.039789495
LC3_A,insurance,0.0111410586
LC3_A,capital recovery + tax,0.2446053997972964
LC3_B,LC3 cement,2.9642112000000007
LC3_B,electricity (mixer),0.0041
LC3_B,sand,0.9789479999999999
LC3_B,"tap water (mixing, make-up)",0.00578945
LC3_B,labor,0.27999999999999997
LC3_B,maintenance,0.1
LC3_B,insurance,0.027999999999999997
LC3_B,capital recovery + tax,0.5564022072514154
