parameter,bound,value,GWP,MSP,dGWP,dGWP_vs_FA,GWP_minus_FA,GWP_minus_LC3,dMSP,MSP_minus_IL,MSP_minus_FA,dMSP_vs_IL,dMSP_vs_FA
repl,low,0.15,0.1818806020528706,5.986873857247666,0.016891139671160765,0.022185846969765832,0.03473399471584318,0.038194341620178124,-0.3507510042003581,0.8021416783281214,1.5004920556093788,-0.3507510042003581,-0.3507510042003581
repl,high,0.45,0.14827106706117796,6.439152208144408,-0.016718395320531876,-0.021958954065997627,-0.009410806319920278,-0.005950459415585335,0.10152734669638441,1.254420029224864,1.9527704065061213,0.10152734669638441,0.10152734669638441
cao_field,low,0.15,0.1629752637563227,6.2597534724779536,-0.002014198625387126,0.003280508673217941,0.01582865641929529,0.019289003323630233,-0.0778713889700704,1.0750212935584091,1.7733716708396665,-0.0778713889700704,-0.0778713889700704
cao_field,high,0.45,0.16698306195692317,6.413503149840947,0.001993599575213334,-0.003246959170252417,0.009301188575824931,0.012761535480159875,0.07587828839292321,1.2287709709214027,1.9271213482026601,0.07587828839292321,0.07587828839292321
CE,low,0.7,0.16435730638727322,6.31336408807002,-0.0006321559944366117,0.001029587249458841,0.01357773499553619,0.017038081899871133,-0.024260773378004252,1.1286319091504753,1.8269822864317327,-0.024260773378004252,-0.024260773378004252
CE,high,0.85,0.16530477349124206,6.3496716111566665,0.0003153111095322292,-0.0005135446010858524,0.012034603144991496,0.01549495004932644,0.012046749708642501,1.164939432237122,1.8632898095183794,0.012046749708642501,0.012046749708642501
ce0_field,low,0.1,0.1653992673947137,6.353275093537178,0.0004098050130038611,-0.0006674460415882766,0.011880701704489072,0.015341048608824015,0.01565023208915406,1.1685429146176336,1.866893291898891,0.01565023208915406,0.01565023208915406
ce0_field,high,0.4,0.1635006368364131,6.280234537058988,-0.0014888255452967236,0.0024248378748225885,0.014972985620899937,0.01843333252523488,-0.05739032438903635,1.0955023581394432,1.7938527354207006,-0.05739032438903635,-0.05739032438903635
util,low,0.8,0.16833683638157979,6.354447776032295,0.0033473739998699514,0.000686272312128533,0.013234420058205881,0.016694766962540825,0.016822914584270876,1.1697155971127504,1.8680659743940078,0.016822914584270876,0.016822914584270876
util,high,1.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
ta_retained,low,0.33,0.1649856739833464,6.335334604801443,-3.7883983634301455e-06,-3.7883983634301455e-06,0.012544359347713918,0.01600470625204886,-0.0022902566465807794,1.1506024258818988,1.8489528031631561,-0.0022902566465807794,-0.0022902566465807794
ta_retained,high,1.0,0.1657548336510743,6.800326105774007,0.0007653712693644621,0.0007653712693644621,0.01331351901544181,0.016773865919776754,0.4627012443259835,1.615593926854463,2.3139443041357204,0.4627012443259835,0.4627012443259835
grind_e,low,0.027,0.16476238965654622,6.33381193114005,-0.00022707272516361843,-0.00022707272516361843,0.01232107502091373,0.015781421925248673,-0.0038129303079736943,1.1490797522205058,1.8474301295017632,-0.0038129303079736943,-0.0038129303079736943
grind_e,high,0.043,0.16530465288081755,6.342917436353122,0.00031519049910772035,0.00031519049910772035,0.012863338245185069,0.016323685149520012,0.0052925749050984905,1.158185257433578,1.8565356347148354,0.0052925749050984905,0.0052925749050984905
crush_alloc,low,0.2,0.16496430014881647,6.334526768820649,-2.51622328933665e-05,-2.51622328933665e-05,0.012522985513183982,0.015983332417518925,-0.0030980926273747045,1.1497945899011048,1.8481449671823622,-0.0030980926273747045,-0.0030980926273747045
crush_alloc,high,1.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
dry_MJ_per_kg_water,low,3.0,0.1589602186479032,6.2363837892310325,-0.006029243733806644,-0.006029243733806644,0.006518904012270704,0.009979250916605648,-0.10124107221699141,1.0516516103114881,1.7500019875927455,-0.10124107221699141,-0.10124107221699141
dry_MJ_per_kg_water,high,5.0,0.16823597823837497,6.392139284949481,0.003246515856665133,0.003246515856665133,0.01579466360274248,0.019255010507077425,0.05451442350145719,1.2074071060299367,1.905757483311194,0.05451442350145719,0.05451442350145719
labor_rate,low,22.0,0.16498946238170983,6.273168904520045,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.06445595692797923,1.1314073635524862,1.8297577408337427,-0.021485318975993373,-0.02148531897599426
labor_rate,high,36.0,0.16498946238170983,6.4235661373519966,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0859412759039726,1.1815397744964713,1.879890151777727,0.028647091967991756,0.02864709196798998
labor_fte_bc_A,low,1.0,0.16498946238170983,6.28749245050404,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.05013241094398424,1.1027602715844953,1.8011106488657527,-0.05013241094398424,-0.05013241094398424
labor_fte_bc_A,high,4.0,0.16498946238170983,6.4378896833359915,0.0,0.0,0.012548147746077348,0.01600849465041229,0.10026482188796759,1.2531575044164471,1.9515078816977045,0.10026482188796759,0.10026482188796759
labor_fte_bc_B,low,0.5,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
labor_fte_bc_B,high,2.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
price_il,low,140.0,0.16498946238170983,6.0137501841537,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.32387467729432373,1.2965016061855605,1.854606903181395,0.143608923657081,0.0033638433716580707
price_il,high,180.0,0.16498946238170983,6.661499538742348,0.0,0.0,0.012548147746077348,0.01600849465041229,0.32387467729432373,1.0092837588713985,1.8478792164380753,-0.143608923657081,-0.0033638433716616234
price_fa,low,40.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.9914881400951572,0.0,0.14024508028542026
price_fa,high,90.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.6408754393816034,0.0,-0.2103676204281335
price_lc3_factor,low,0.8,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
price_lc3_factor,high,1.15,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
price_elec,low,0.06,0.16498946238170983,6.241701691837669,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.09592316961035507,1.0569695129181245,1.7560912381409501,-0.09592316961035507,-0.09515182166878677
price_elec,high,0.11,0.16498946238170983,6.459708895497565,0.0,0.0,0.012548147746077348,0.01600849465041229,0.12208403404954105,1.2749767165780206,1.9723453782972777,0.12208403404954105,0.12110231848754083
price_ta,low,2.0,0.16498946238170983,6.198835308665197,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.13878955278282668,1.0141031297456529,1.7124535070269102,-0.13878955278282668,-0.13878955278282668
price_ta,high,16.0,0.16498946238170983,6.846519888318387,0.0,0.0,0.012548147746077348,0.01600849465041229,0.5088950268703627,1.6617877093988422,2.3601380866800996,0.5088950268703627,0.5088950268703627
price_co2,low,40.0,0.16498946238170983,6.316873884325995,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.020750977122029113,1.1321417054064504,1.8304920826877078,-0.020750977122029113,-0.020750977122029113
price_co2,high,120.0,0.16498946238170983,6.399877792814111,0.0,0.0,0.012548147746077348,0.01600849465041229,0.06225293136608734,1.2151456138945669,1.9134959911758243,0.06225293136608734,0.06225293136608734
price_rcf,low,0.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
price_rcf,high,30.0,0.16498946238170983,6.545830011137232,0.0,0.0,0.012548147746077348,0.01600849465041229,0.2082051496892081,1.3610978322176877,2.059448209498945,0.2082051496892081,0.2082051496892081
plant_common_A_cost,low,800000.0,0.16498946238170983,6.218044805866438,0.0,0.0,0.012548147746077348,0.01600849465041229,-0.11958005558158558,1.152562028490447,1.8510419053158635,-0.0003306540380325629,-0.0002011544938733678
plant_common_A_cost,high,2500000.0,0.16498946238170983,6.50845351227886,0.0,0.0,0.012548147746077348,0.01600849465041229,0.17082865083083565,1.1528926825284795,1.851243059809737,0.0,0.0
plant_common_B_cost,low,1500000.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
plant_common_B_cost,high,3000000.0,0.16498946238170983,6.337624861448024,0.0,0.0,0.012548147746077348,0.01600849465041229,0.0,1.1528926825284795,1.851243059809737,0.0,0.0
