parameter,bound,value,GWP,MSP,dGWP,dGWP_vs_FA,GWP_minus_FA,GWP_minus_LC3,dMSP,MSP_minus_IL,MSP_minus_FA,dMSP_vs_IL,dMSP_vs_FA
repl,low,0.15,0.17183640772623585,5.549147456443252,0.026832084855730715,0.03212679215433578,0.024689800389208427,0.02815014729354337,0.38037647303449074,-0.11627716233041152,0.582073214950845,0.38037647303449074,0.38037647303449074
repl,high,0.45,0.11844664762624278,4.785458210153318,-0.02655767524426235,-0.0317982339897281,-0.039235225754855454,-0.03577487885052051,-0.3833127732554429,-0.8799664086203451,-0.18161603133908866,-0.3833127732554429,-0.3833127732554429
cao_field,low,0.15,0.1441904188320318,5.154574447148222,-0.0008139040384733398,0.004480803260131727,-0.002956188504995627,0.0005041583993393162,-0.014196536260539183,-0.5108501716254414,0.18750020565581504,-0.014196536260539183,-0.014196536260539183
cao_field,high,0.45,0.14580990317669418,5.18233221309043,0.0008055803061890465,-0.004434978439276704,-0.011871970204404059,-0.008411623300069115,0.013561229681669396,-0.48309240568323286,0.21525797159802362,0.013561229681669396,0.013561229681669396
CE,low,0.7,0.14474887918668364,5.164390035697658,-0.0002554436838214935,0.0014062995600739592,-0.006030692205053395,-0.002570345300718452,-0.004380947711102756,-0.501034583076005,0.19731579420525147,-0.004380947711102756,-0.004380947711102756
CE,high,0.85,0.14513173482590475,5.170938674446691,0.00012741195539961447,-0.0007014437552184671,-0.008138435520345821,-0.004678088616010878,0.0021676910379300196,-0.49448594432697224,0.20386443295428425,0.0021676910379300196,0.0021676910379300196
ce0_field,low,0.1,0.14516991823476885,5.171586323967816,0.0001655953642637209,-0.0009116556903284168,-0.008348647455455771,-0.004888300551120828,0.0028153405590547464,-0.4938382948058475,0.20451208247540897,0.0028153405590547464,0.0028153405590547464
ce0_field,high,0.4,0.1444027133228537,5.158355226220862,-0.0006016095476514272,0.003312053872467885,-0.004124937892659469,-0.000664590988324526,-0.01041575718789911,-0.5070693925528014,0.19128098472845512,-0.01041575718789911,-0.01041575718789911
util,low,0.8,0.14835169687037508,5.1858137827926,0.0033473739998699514,0.000686272312128533,-0.006750719452998821,-0.003290372548663878,0.017042799383839125,-0.47961083598106313,0.21873954130019335,0.017042799383839125,0.017042799383839125
util,high,1.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
ta_retained,low,0.33,0.1450005344721417,5.166480726762181,-3.7883983634301455e-06,-3.7883983634301455e-06,-0.007440780163490784,-0.003980433259155841,-0.0022902566465798913,-0.49894389201148215,0.19940648526977434,-0.0022902566465798913,-0.0022902566465798913
ta_retained,high,1.0,0.1457696941398696,5.631472227734744,0.0007653712693644621,0.0007653712693644621,-0.006671620495762892,-0.003211273591427949,0.4627012443259835,-0.03395239103891878,0.6643979862423377,0.4627012443259835,0.4627012443259835
grind_e,low,0.027,0.1447772501453415,5.1649580531007855,-0.00022707272516361843,-0.00022707272516361843,-0.007664064490290973,-0.004203717585956029,-0.0038129303079754706,-0.5004665656728777,0.19788381160837876,-0.0038129303079754706,-0.0038129303079754706
grind_e,high,0.043,0.14531951336961285,5.17406355831386,0.00031519049910772035,0.00031519049910772035,-0.007121801266019634,-0.0036614543616846906,0.005292574905099379,-0.4913610604598029,0.2069893168214536,0.005292574905099379,0.005292574905099379
crush_alloc,low,0.2,0.14497916063761176,5.165672890781386,-2.51622328933665e-05,-2.51622328933665e-05,-0.007462153998020721,-0.0040018070936857775,-0.0030980926273747045,-0.49975172799227696,0.19859864928897952,-0.0030980926273747045,-0.0030980926273747045
crush_alloc,high,1.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
dry_MJ_per_kg_water,low,3.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
dry_MJ_per_kg_water,high,5.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
labor_rate,low,22.0,0.14500432287050513,5.08777478462818,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.08099619878058117,-0.5169026850600469,0.18144769222120782,-0.020249049695144627,-0.020249049695146404
labor_rate,high,36.0,0.14500432287050513,5.2767659151162025,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.10799493170744157,-0.469654902438041,0.22869547484321373,0.02699873292686128,0.026998732926859503
labor_fte_bc_A,low,1.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
labor_fte_bc_A,high,4.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
labor_fte_bc_B,low,0.5,0.14500432287050513,5.121523200786755,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.04724778262200591,-0.5439014179869082,0.15444895929434832,-0.04724778262200591,-0.04724778262200591
labor_fte_bc_B,high,2.0,0.14500432287050513,5.263266548652772,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.09449556524401093,-0.40215807012089133,0.29619230716036515,0.09449556524401093,0.09449556524401093
price_il,low,140.0,0.14500432287050513,4.844896306114436,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.3238746772943246,-0.35304471170782126,0.2050605852880123,0.143608923657081,0.0033638433716580707
price_il,high,180.0,0.14500432287050513,5.492645660703085,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.32387467729432373,-0.6402625590219824,0.1983328985446935,-0.1436089236570801,-0.003363843371660735
price_fa,low,40.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.34194182220177627,0.0,0.14024508028542204
price_fa,high,90.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,-0.00867087851177839,0.0,-0.21036762042813262
price_lc3_factor,low,0.8,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
price_lc3_factor,high,1.15,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
price_elec,low,0.06,0.14500432287050513,5.161593282163738,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.007177701245023371,-0.5027210633100001,0.19640066191282557,-0.0060674279450978474,-0.005296080003528658
price_elec,high,0.11,0.14500432287050513,5.177906239538792,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.009135256130030633,-0.48893145434386653,0.2084372073753915,0.007722181021035723,0.0067404654590372814
price_ta,low,2.0,0.14500432287050513,5.029981430625936,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.1387895527828249,-0.6354431881477272,0.06290718913352933,-0.1387895527828249,-0.1387895527828249
price_ta,high,16.0,0.14500432287050513,5.677666010279124,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.5088950268703627,0.012241391505460442,0.7105917687867169,0.5088950268703627,0.5088950268703627
price_co2,low,40.0,0.14500432287050513,5.148020006286733,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.020750977122028225,-0.5174046124869305,0.180945764794326,-0.020750977122028225,-0.020750977122028225
price_co2,high,120.0,0.14500432287050513,5.23102391477485,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.062252931366089115,-0.43440070399881314,0.26394967328244334,0.062252931366089115,0.062252931366089115
price_rcf,low,0.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
price_rcf,high,30.0,0.14500432287050513,5.376976133097969,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.2082051496892081,-0.28844848567569414,0.40990189160556234,0.2082051496892081,0.2082051496892081
plant_common_A_cost,low,800000.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
plant_common_A_cost,high,2500000.0,0.14500432287050513,5.168770983408761,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.0,-0.49665363536490226,0.20169674191635423,0.0,0.0
plant_common_B_cost,low,1500000.0,0.14500432287050513,5.007771845164952,0.0,0.0,-0.007436991765127354,-0.003976644860792411,-0.16099913824380874,-0.49665363536490226,0.20169674191635334,0.0,-8.881784197001252e-16
plant_common_B_cost,high,3000000.0,0.14500432287050513,5.490769259896378,0.0,0.0,-0.007436991765127354,-0.003976644860792411,0.3219982764876175,-0.49665363536490137,0.20169674191635423,8.881784197001252e-16,0.0
